Species_name,Family,Genus,Species_epithet,Seed_weight,Seed_weight_source,Mating_system,Mating_system_source,Growth_form,Growth_form_herb,Growth_form_source
Solanum_supinum,Solanaceae,Solanum,supinum,3.6626,Seed Information Database,SC,Grossenbacher et al. (2017),Herb,Herb,GBIF
Solanum_terminale,Solanaceae,Solanum,terminale,1.306,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_tomentosum,Solanaceae,Solanum,tomentosum,3.3412,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_torvum,Solanaceae,Solanum,torvum,1,Seed Information Database,SC,Grossenbacher et al. (2017),Shrub,NonHerb,Engemann et al. (2016)
Solanum_triflorum,Solanaceae,Solanum,triflorum,1,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_trisectum,Solanaceae,Solanum,trisectum,5.5299,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_vescum,Solanaceae,Solanum,vescum,1.90756,Seed Information Database,SC,Grossenbacher et al. (2017),Shrub,NonHerb,GBIF
Solanum_viarum,Solanaceae,Solanum,viarum,2.31,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
Solanum_vicinum,Solanaceae,Solanum,vicinum,0.678,Seed Information Database,SC,Grossenbacher et al. (2017),Shrub,NonHerb,GBIF
Solanum_villosum,Solanaceae,Solanum,villosum,0.85375,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_virginianum,Solanaceae,Solanum,virginianum,2.01,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
Solanum_wallacei,Solanaceae,Solanum,wallacei,0.647,Seed Information Database,SC,Goldberg et al. (2010),Herb,Herb,GBIF
Withania_somnifera,Solanaceae,Withania,somnifera,1.3,Seed Information Database,SC,Goldberg et al. (2010),Shrub,NonHerb,GBIF
